date,hour,covers,weather,is_weekend,special_event
2026-03-16,12,28,sunny,False,
2026-03-16,13,65,sunny,False,
2026-03-16,14,48,sunny,False,
2026-03-16,19,52,sunny,False,
2026-03-16,20,38,sunny,False,
2026-03-16,21,24,sunny,False,
2026-03-17,12,32,cloudy,False,
2026-03-17,13,70,cloudy,False,
2026-03-17,14,55,cloudy,False,
2026-03-17,19,58,cloudy,False,
2026-03-17,20,42,cloudy,False,
2026-03-17,21,28,cloudy,False,
2026-03-18,12,22,rainy,False,
2026-03-18,13,50,rainy,False,
2026-03-18,14,38,rainy,False,
2026-03-18,19,42,rainy,False,
2026-03-18,20,30,rainy,False,
2026-03-18,21,18,rainy,False,
2026-03-19,12,20,rainy,False,
2026-03-19,13,48,rainy,False,
2026-03-19,14,36,rainy,False,
2026-03-19,19,40,rainy,False,
2026-03-19,20,28,rainy,False,
2026-03-19,21,16,rainy,False,
2026-03-20,12,30,cloudy,False,
2026-03-20,13,72,cloudy,False,
2026-03-20,14,56,cloudy,False,
2026-03-20,19,60,cloudy,False,
2026-03-20,20,44,cloudy,False,
2026-03-20,21,30,cloudy,False,
2026-03-21,12,45,sunny,True,
2026-03-21,13,105,sunny,True,
2026-03-21,14,82,sunny,True,
2026-03-21,19,88,sunny,True,
2026-03-21,20,65,sunny,True,
2026-03-21,21,42,sunny,True,
2026-03-22,12,50,sunny,True,
2026-03-22,13,118,sunny,True,
2026-03-22,14,92,sunny,True,
2026-03-22,19,98,sunny,True,
2026-03-22,20,72,sunny,True,
2026-03-22,21,48,sunny,True,
2026-03-23,12,29,sunny,False,
2026-03-23,13,68,sunny,False,
2026-03-23,14,52,sunny,False,
2026-03-23,19,55,sunny,False,
2026-03-23,20,40,sunny,False,
2026-03-23,21,25,sunny,False,
2026-03-24,12,31,cloudy,False,
2026-03-24,13,74,cloudy,False,
2026-03-24,14,57,cloudy,False,
2026-03-24,19,61,cloudy,False,
2026-03-24,20,45,cloudy,False,
2026-03-24,21,29,cloudy,False,
2026-03-25,12,18,snowy,False,
2026-03-25,13,42,snowy,False,
2026-03-25,14,32,snowy,False,
2026-03-25,19,35,snowy,False,
2026-03-25,20,24,snowy,False,
2026-03-25,21,14,snowy,False,
2026-03-26,12,25,cloudy,False,
2026-03-26,13,60,cloudy,False,
2026-03-26,14,46,cloudy,False,
2026-03-26,19,49,cloudy,False,
2026-03-26,20,36,cloudy,False,
2026-03-26,21,22,cloudy,False,
2026-03-27,12,34,sunny,False,
2026-03-27,13,80,sunny,False,
2026-03-27,14,62,sunny,False,
2026-03-27,19,66,sunny,False,
2026-03-27,20,48,sunny,False,
2026-03-27,21,32,sunny,False,
2026-03-28,12,48,sunny,True,St. Patrick's Day
2026-03-28,13,112,sunny,True,St. Patrick's Day
2026-03-28,14,88,sunny,True,St. Patrick's Day
